ID,entrytype,title,author,year,journal,volume,number,pages,month,note,publisher,address,abstract
alma9946893733404105,,Complexity in financial markets : modeling psychological behavior in agent-based models and order book models,"Cristelli, Matthieu.",2014,,,,,,,Springer,Cham,"Tools and methods from complex systems science can have a considerable impact on the way in which the quantitative assessment of economic and financial issues is approached, as discussed in this thesis. First  it is shown that the self-organization of financial markets is a crucial factor in the understanding of their dynamics. In fact, using an agent-based approach, it is argued that financial markets’ stylized facts appear only in the self-organized state. Secondly, the thesis points out the potential of so-called big data science for financial market modeling, investigating how web-driven data can yield a picture of market activities:  it has been found that web query volumes anticipate trade volumes. As a third achievement, the metrics developed here for country competitiveness and product complexity is groundbreaking in comparison to mainstream theories of economic growth and technological development. A key element in assessing the intangible variables determining the success of countries in the present globalized economy is represented by the diversification of the productive basket of countries. The comparison between the level of complexity of a country's productive system  and economic indicators such as the GDP per capita discloses its hidden growth potential."
alma9946892023104105,,Advances in Computational Social Science : The Fourth World Congress,"Chen, Shu-Heng. and Terano, Takao. and Yamamoto, Ryuichi. and Tai, Chung-Ching.",2014,,,,,,,Springer Japan,Tokyo,"This volume is a post-conference publication of the 4th World Congress on Social Simulation (WCSS), with contents selected from among the 80 papers originally presented at the conference. WCSS is a biennial event, jointly organized by three scientific communities in computational social science, namely, the Pacific-Asian Association for Agent-Based Approach in Social Systems Sciences (PAAA), the European Social Simulation Association (ESSA), and the Computational Social Science Society of the Americas (CSSSA). It is, therefore, currently the most prominent conference in the area of agent-based social simulation. The papers selected for this volume give a holistic view of the current development of social simulation, indicating the directions for future research and creating an important archival document and milestone in the history of computational social science. Specifically, the papers included here cover substantial progress in artificial financial markets, macroeconomic forecasting, supply chain management, bank networks, social networks, urban planning, social norms and group formation, cross-cultural studies, political party competition, voting behavior, computational demography, computational anthropology, evolution of languages, public health and epidemics, AIDS, security and terrorism, methodological and epistemological issues, empirical-based agent-based modeling, modeling of experimental social science, gaming simulation, cognitive agents, and participatory simulation. Furthermore, pioneering studies in some new research areas, such as the theoretical foundations of social simulation and categorical social science, also are included in the volume."
alma9947594295904105,,Downtown Dynamics,"Kaneda, Toshiyuki.",2020,,,,,,,Springer Japan,Tokyo,"In urban analytics, ‘crowding’ implies the spatiotemporal distributional unevenness of people’s stays and flows in middle-scale urban spaces, and has since become an emerging keyword, attracting not only practical interests but also research interests, especially in the current IoT devised downtown. This book presents a collection of papers on a series of exploratory studies on the rise and fall of downtowns (Downtown Dynamics), which the author’s group has been working on with the aim of constructing an artificial society that contributes to the planning and management of crowds by developing Agent-Based Social Simulation (ABSS). In particular, the book includes (1) an analysis of 20 years’ worth of survey data on visitors’ shopping-around behavior for Osu district in Nagoya city, as a representative Japanese downtown, (2) correlation analyses of spatial distributions between Visibility Graph Analysis (VGA) as a “visibility index” and crowding in middle scale urban spaces, (3) agent modeling of visitors’ shopping-around behavior and construction of the Downtown Dynamics Model as an artificial society, and (4) modeling of the vision-driven agent as a “crowd generator” and its applicability to spatial design and sign layout in urban spaces. The book also includes a novel research program derived from complexity system science that provides new approaches to Agent-Based Modeling (ABM), social simulation, regional sciences, geo-informatics, and urban planning studies for researchers and graduate students, as well as planning scientists and practitioners such as town managers and planners who are concerned with downtown revitalization. ."
alma9947356615904105,,The Cost and Benefits of Tax Treaties with Investment Hubs: Findings from Sub-Saharan Africa,"Beer, Sebastian. and Loeprick, Jan.",2018,,,,,,,International Monetary Fund,"Washington, D.C","This paper investigates the costs and benefits of concluding double tax treaties with investment hubs.  Based on a sample of 41 African economies from 1985–2015, the results suggest that signing treaties with investment hubs is not associated with additional investments; yet, these treaties tend to come with nonnegligible revenue losses. Building on a theoretical model, the paper investigates the role of treaty shopping in driving nominal investment flows and provides indirect evidence for its importance in the sample."
alma9946910710404105,,Agent based modelling and network dynamics,"Namatame, Akira and Chen, Shu-Heng",2016 - 2016,,,,,,,Oxford University Press,Oxford,"This book offers a unique treatment of agent-based models. Through the introduction of the two families of models, namely, network-based agent-based models and agent-based models of social networks, it reviews important contributions in a chronological order providing an overall picture of the research stream."
alma9947103344804105,,"Handbook of computational economics . Volume 4, Heterogeneous agent modeling","Hommes, Cars and Hommes, Cars and LeBaron, Blake",2018,,,,,,,North Holland,"Amsterdam, the Netherlands ;","Handbook of Computational Economics: Heterogeneous Agent Modeling, Volume Four, focuses on heterogeneous agent models, emphasizing recent advances in macroeconomics (including DSGE), finance, empirical validation and experiments, networks and related applications. Capturing the advances made since the publication of Volume Two (Tesfatsion & Judd, 2006), it provides high-level literature with sections devoted to Macroeconomics, Finance, Empirical Validation and Experiments, Networks, and other applications, including Innovation Diffusion in Heterogeneous Populations, Market Design and Electricity Markets, and a final section on Perspectives on Heterogeneity. Helps readers fully understand the dynamic properties of realistically rendered economic systems Emphasizes detailed specifications of structural conditions, institutional arrangements and behavioral dispositions Provides broad assessments that can lead researchers to recognize new synergies and opportunities"
alma9946893731804105,,Econophysics of Agent-Based Models,"Abergel, Frédéric. and Aoyama, Hideaki. and Chakrabarti, Bikas K. and Chakraborti, Anirban. and Ghosh, Asim.",2014,,,,,,,Springer International Publishing,Cham,"The primary goal of this book is to present the research findings and conclusions of physicists, economists, mathematicians and financial engineers working in the field of ""Econophysics"" who have undertaken agent-based modelling, comparison with empirical studies and related investigations. Most standard economic models assume the existence of the representative agent, who is “perfectly rational” and applies the utility maximization principle when taking action. One reason for this is the desire to keep models mathematically tractable: no tools are available to economists for solving non-linear models of heterogeneous adaptive agents without explicit optimization. In contrast, multi-agent models, which originated from statistical physics considerations, allow us to go beyond the prototype theories of traditional economics involving the representative agent. This book is based on the Econophys-Kolkata VII Workshop, at which many such modelling efforts were presented. In the book, leading researchers in their fields report on their latest work, consider recent developments and review the contemporary literature."
alma9947050968404105,,Economics for a fairer society : going back to basics using agent-based models,"Gooding, Tim.",2019,,,,,,,Springer International Publishing,Cham,"This Palgrave Pivot presents experiments that reveal core dynamics of trade in a complex system. Monetary trade is stripped of all its complications and placed in agent-based models, a complexity research tool capable of reproducing emergent behaviour and evolution. Included are ground-breaking repeatable experiments exploring the impact of evolutionary prerequisites empirically present in markets. Isolating the core dynamics of trade results in very simple agent-based models. However, decades of complexity research demonstrate that even the simplest systems result in emergent behaviour that is extremely difficult to anticipate. Readers who are only familiar with the linear-system theories and models used to train almost all undergraduate economics students might be surprised to witness price detaching from supply and demand, and extreme poverty and wealth arising in trade systems populated by agents with equal ability and opportunity. Watch as empirical evolutionary prerequisites are introduced and price patterns characterising two different markets – asset markets and speculative markets – emerge irrespective of supply and demand. In addition to laying the groundwork of monetary trade in a complex system, more complicated models feature mortal reproductive agents. Including ‘living’ populations in economic models reveal how the complexity characteristics of our market economy are impacting impoverishment and starvation. This book invites anyone interested in economics to join the growing ranks of people who are fascinated by the insights offered by complexity research. ."
alma9946919261004105,,Advances in Artificial Economics,"Amblard, Frédéric. and Miguel, Francisco J. and Blanchet, Adrien. and Gaudou, Benoit.",2015,,,,,,,Springer International Publishing,Cham,"The book presents a peer-reviewed collection of papers presented during the 10th issue of the Artificial Economics conference, addressing a variety of issues related to macroeconomics, industrial organization, networks, management and finance, as well as purely methodological issues. The field of artificial economics covers a broad range of methodologies relying on computer simulations in order to model and study the complexity of economic and social phenomena. The grounding principle of artificial economics is the analysis of aggregate properties of simulated systems populated by interacting adaptive agents that are equipped with heterogeneous individual behavioral rules. These macroscopic properties are neither foreseen nor intended by the artificial agents but generated collectively by them. They are emerging characteristics of such artificially simulated systems."
alma9946906293504105,,Inframarginal contributions to development economics,"Tombazos, Christis G. and Yang, Xiaokai.",2006,,,,,,,World Scientific,New Jersey,"The core of classical economic analysis represented by William Petty and Adam Smith concentrated on the field of development economics. This <i>classical</i> footing of the study of development is different from the <i>neoclassical</i> perspective in two important respects: (a) it focuses on division of labor as the driving force of development, and (b) it emphasizes the role of the market (the ""invisible hand"") in exploiting productivity gains that are derived from division of labor. However these aspects have received little attention in the body of literature that represents the modern"
